Date;sentiment;text_clean
2024-02-10 22:09;Negative;"Hari ini merupakan hari terakhir kampanye oleh peserta pemilu termasuk pasangan calon presiden dan wakil presiden. Beragam keriuhan terjadi pada kampanye akbar di hari terakhir tersebut.

Diketahui, pada Sabtu (10/2/2024), tiga paslon capres-cawapres menggelar kampanye akbar. Paslon nomor urut 1 Anies Baswedan-Muhaimin Iskandar menggelar kampanye akbar di Jakarta International Stadium (JIS), Jakarta. Sementara itu, paslon nomor urut 2 Prabowo Subianto-Gibran Rakabuming Raka menggelar kampanye di Gelora Bung Karno (GBK), Jakarta.

Sedangkan, paslon nomor urut 3, Ganjar Pranowo-Mahfud Md menggelar kampanye akbar di dua lokasi di Jawa Tengah, yaitu Solo dan Semarang.

Berikut adalah fakta-fakta keriuhan kampanye pamungkas 3 Capres-cawapres.

Stasiun Kampung Bandan terpantau padat pada Sabtu (10/2) pada pagi pukul 07.00 WIB. Sebagian besar dari mereka pendukung Anies-Muhaimin yang hendak menuju JIS.

Tampak beberapa dari mereka mengenakan atribut kampanye. Salah satunya topi bertuliskan 1 AMIN.

Selain itu, stasiun Tanjung Priok pun dipadati oleh massa pendukung Anies Muhaimin (AMIN)

Pantauan detikcom, Sabtu (10/2/2024), massa memadati KRL mulai dari rute Bogor-Jakarta Kota. Kemudian massa lanjut menggunakan KRL rute Jakarta Kota-Tanjung Priok.

Sejatinya, massa hendak turun di Stasiun Ancol. Namun, KRL tidak berhenti di Stasiun Ancol dan lalu berhenti di Stasiun Tanjung Priok.

Massa tampak membeludak di Stasiun Tanjung Priok. Mereka kemudian berjalan ke pintu keluar. Beberapa massa terdengar kecewa karena harus berhenti di Stasiun Tanjung Priok.

""Sebenarnya pengen turun di (Stasiun) Ancol, tapi nggak tahu kenapa ini turun di Tanjung Priok. Nggak tahu nih gimana ke JIS-nya,"" ucap salah satu massa bernama, Hakim (25).

Pendukung Timnas AMIN melakukan long march menuju lokasi Kumpul Akbar di Jakarta Internasional Stadium (JIS). Mereka terlihat memenuhi jalan mulai dari terminal Tanjung Priok.

Pantauan detikcom di Jalan RE Martadinata, Tanjung Priok, Sabtu (10/2/2024), arus lalu lintas terlihat padat. Laju Kendaraan baik mobil maupun sepeda motor pun terhenti.

Massa pendukung tampak mengenakan pakaian serba putih lengkap dengan berbagi atribut yang dukungan untuk Anies-Cak Imin. Mereka juga terdengar terus meneriakkan dukungan ke paslon nomor urut 1 itu.

Massa pendukung AMIN tampak memenuhi dalam JIS. Para pendukung menggunakan baju bernuansa putih. Tribun di JIS juga terlihat terisi penuh.

Selain itu, para pendukung juga terlihat membawa sejumlah bendera partai pendukung AMIN. Anies dan Cak Imin terlihat ikut duduk di tribun.

Anies-Cak Imin tampak didampingi oleh sang istri Fery Farhati dan Rustina Murtadho. Mereka terlihat senada mengenakan pakaian putih.

Ketua umum partai pendukung AMIN juga terlihat turut hadir mendampingi Anies-Cak Imin. Beberapa diantaranya yakni, Ketum NasDem Surya Paloh, Ketua Majelis Syura Partai Keadilan Sejahtera (PKS)Salim SegafAl Jufri.

Kampanye akbar pasangan capres-cawapres nomor urut 1, Anies Baswedan-Muhaimin Iskandar (AMIN) sudah selesai dilaksanakan di Jakarta Internasional Stadium (JIS). Massa mengeluhkan soal akses keluar dari kawasan JIS.

Salah seorang pendukung yang kesulitan adalah Yaumil (27). Dia mengatakan sudah lama menunggu ojek online yang tak kunjung datang.

Dia mengaku belum mendapat ojek online sejak selesai acara kampanye pada sekitar pukul 13.00 WIB. Hingga sekitar pukul 16.00 WIB, dia belum mendapat driver yang akan mengantarnya."
2024-02-10 21:08;Negative;"Pemungutan suara Pemilu 2024 tinggal menghitung hari. Berikut potret elektabilitas ketiga paslon presiden 2024 berdasarkan hasil survei terbaru.

Dirangkum detikcom, Sabtu (10/2/2024), mayoritas lembaga survei menunjukkan elektabilitas paslon nomor urut 2, Prabowo Subianto dan Gibran Rakabuming Raka unggul dibandingkan dua paslon lainnya.

Sementara paslon nomor urut 1 Anies Baswedan dan Muhaimin Iskandar (Cak Imin) berada di posisi kedua. Di urutan buncit ialah paslon nomor urut 3 Ganjar Pranowo dan Mahfud MD. Berikut rangkumannya:

Lembaga Survei Indonesia

Lembaga Survei Indonesia (LSI) merilis hasil survei elektabilitas capres-cawapres 2024 menjelang pilpres. LSI membuat simulasi surat suara pilpres.

Survei dirilis Direktur Eksekutif LSI Djayadi Hanan di Double Tree Hotel Cikini, Jakarta Pusat, Sabtu (10/2/2024). Survei ini menggunakan metode multistage random sampling dengan responden 1.220.

Margin of error dari ukuran sampel tersebut sebesar +/- 2,9 persen pada tingkat kepercayaan 95 persen (dengan asumsi simple random sampling). Survei dilakukan pada 29 Januari hingga 5 Februari 2024. Responden terpilih diwawancarai lewat tatap muka oleh pewawancara yang telah dilatih.

Dalam survei simulasi surat suara pilpres, responden diberi pertanyaan 'Jika pemilihan presiden diadakan sekarang, siapa yang akan Ibu/Bapak pilih sebagai Presiden dan Wakil Presiden di antara pasangan nama berikut ini?'.

Berikut hasilnya:

01. Anies Baswedan-Muhaimin: 23,3%

02. Prabowo Subianto-Gibran Rakabuming: 51,9%

03. Ganjar Pranowo-Mahfud Md: 20,3%

Tidak tahu/tidak jawab: 4,4%.

LSI juga menanyakan responden dengan simulasi tertutup dua pasangan. Dalam survei ini, Prabowo-Gibran akan unggul melawan Anies-Muhaimin atau Ganjar-Mahfud."
2024-02-10 20:47;Positive;"Ketua MPR RI Bambang Soesatyo mengajak para kontestan politik dan pendukungnya untuk mengakhiri kampanye terbuka dengan tetap menjaga keamanan, ketertiban, dan kedamaian.

Ia juga mengimbau untuk menyambut minggu tenang dari tanggal 11-13 Februari 2024 dengan kondusif. Dengan begitu, warga bisa menggunakan hak pilihnya pada 14 Februari 2024 dengan nyaman dan aman.

""Hari ini, ketiga pasang capres"
2024-02-10 19:32;Positive;Cak Imin: Hari Ini Kita Berkumpul di Stadion Bola Je-I-Se
2024-02-10 19:14;Negative;Anies Minta Maaf Atas Semua Kekurangan Kampanye Akbar AMIN di JIS
2024-02-10 15:14;Positive;Intip Arsitektur JIS yang Jadi Tempat Kampanye Akbar Anies-Muhaimin
2024-02-10 13:51;Negative;"Lembaga Survei Indonesia (LSI) menyebut 66,3% responden menginginkan Pilpres 2024 berlangsung satu putaran. LSI juga merilis survei prediksi pemenang Pilpres.

Survei ini dirilis Direktur Eksekutif LSI Djayadi Hanan, Sabtu (10/2/2024). Survei dilakukan pada 4-9 Februari 2024 di 38 Provinsi yang ada di seluruh Indonesia. Jumlah sampel dalam survei ini 1.200 responden.

Margin of Error (MoE) +/- 2,83%. Tingkat kepercayaan survei ini sebesar 95%.

Adapun pengumpulan data survei ini dilakukan dengan menggunakan telepon oleh tenaga terlatih dengan bantuan pedoman kuesioner. Survei ini juga dilengkapi dengan penelusuran data percakapan warganet (netizen) melalui media monitoring diri sebagai platform media sosial.

Awalnya, responden ditanya apakah setuju atau tidak setuju jika Pemilu berlangsung satu putaran. 73,4% mengatakan setuju.

Responden lalu diberi pertanyaan 'Apakah menurut Ibu/Bapak, pilpres kali ini akan berlangsung satu putaran (salah satu kandidat akan memperoleh di atas 50% suara) atau dua putaran (tidak ada kandidat memperoleh suara di atas 50%, yang akan maju di putaran ke dua adalah paslon peringkat 1 dan 2)?'.

Setelah itu, responden ditanya mengenai siapa pemenang Pilpres. Ada 53,8% responden memprediksi Prabowo-Gibran menang.

Hasil prediksi pemenang pilpres sebagai berikut:

01 Anies-Muhaimin: 18,5%

02 Prabowo-Gibran: 53,8%

03 Ganjar-Mahfud: 16,8%

Tidak tahu/tiak jawab: 10,9%

Lalu, responden diberi pertanyaan mengenai siapa paslon yang menduduki peringkat kedua. Mayoritas responden memilih Ganjar-Mahfud.

'Menurut Ibu/Bapak siapa yang akan menduduki peringkat ke 2 dalam Pilpres 14 Februari 2024 mendatang?' Berikut hasil survei:"
2024-02-10 13:36;Positive;Anies: Ada Kabar Penggiringan Opini Satu Putaran, Lawan dengan Hati Nurani
2024-02-10 13:10;Positive;"Lembaga Survei Indonesia (LSI) merilis hasil survei elektabilitas capres-cawapres 2024 menjelang Pilpres. LSI membuat simulasi surat suara Pilpres, seperti apa hasilnya?

Survei dirilis Direktur Eksekutif LSI Djayadi Hanan, di Double Tree Hotel Cikini, Jakarta Pusat, Sabtu (10/2/2024). Survei ini menggunakan metode multistage random sampling dengan responden 1.220.

Margin of error dari ukuran sampel tersebut sebesar +/- 2.9% pada tingkat kepercayaan 95% (dengan asumsi simple random sampling). Survei dilakukan pada tanggal 29 Januari-5 Februari 2024, responden terpilih diwawancarai lewat tatap muka oleh pewawancara yang telah dilatih.

Dalam survei simulasi surat suara Pilpres, responden diberi pertanyaan 'Jika pemilihan presiden diadakan sekarang, siapa yang akan Ibu/Bapak pilih sebagai Presiden dan Wakil Presiden di antara pasangan nama berikut ini?... (%)'.

LSI juga menanyakan responden dengan simulasi tertutup dua pasangan. Dalam survei ini, Prabowo-Gibran akan unggul melawan Anies-Muhaimin atau Ganjar-Mahfud."
2024-02-10 13:08;Positive;"Kampanye akbar pasangan calon presiden dan wakil presiden Anies-Muhaimin (AMIN) di Jakarta International Stadium (JIS), Jakarta, berakhir. Massa terlihat mulai meninggalkan lokasi.

Pantauan detikcom di lokasi, Sabtu (10/2/2024), massa mulai meninggalkan lokasi begitu capres nomor urut 1, Anies Baswedan, berpidato di sesi akhir. Massa meninggalkan lokasi melalui beberapa gerbang.

Mereka turut membawa atribut yang semula dibawa saat menghadiri Kumpul Akbar. Begitu juga membawa sampah dan membuangnya ke tempat yang telah disediakan.

Kepadatan tampak di area luar JIS saat massa meninggalkan lokasi. Sejumlah kendaraan baik motor dan mobil juga masih terparkir di area JIS.

Anies sebelumnya menyampaikan pidato kepada massa pendukung di Jakarta International Stadium (JIS). Dalam kampanye itu, Anies menyemangati pendukung untuk melakukan perubahan.

Menurut Anies, beberapa hari ke depan menuju 14 Februari, adalah puncak dari perjuangan. Anies meminta untuk pendukungnya menjaga dan mengawasi hari pencoblosan pemilu.

""Hari-hari ke depan adalah puncak dari perjuangan satu tahun lebih. Siapkah untuk menjaga sepenuh hati? Siapkah untuk mengawasi sepenuh hati? Siapkah untuk menjangkau dengan sepenuh hati,"" kata Anies di JIS, Jakarta.

Menurut Anies, perubahan tidak datang begitu saja. Anies berharap pada 14 Februari, muncul perubahan di Indonesia.

""Perubahan tidak akan datang begitu saja. Perubahan ini harus kita perjuangkan sampai tuntas, insyaallah empat hari ke depan adalah empat hari yang penuh dengan kemudahan, dan semoga 14 Februari, akan kita rayakan akan kita syukuri dan akan kita sebut hari perubahan Indonesia,"" katanya."
2024-02-10 13:02;Positive;Potret Massa di JIS saat Anies dan Cak Imin Orasi di Kampanye Akbar
2024-02-10 12:25;Positive;Anies: Semoga 14 Februari Kita Rayakan Hari Perubahan Indonesia
2024-02-10 11:14;Positive;"Ketua Umum Partai NasDem Surya Paloh berpidato di hadapan massa pendukung Anies-Muhaimin (AMIN) pada kampanye akbar di Jakarta International Stadium (JIS), Jakarta Utara. Surya Paloh mengajak massa yang hadir untuk segera melakukan perubahan.

Awalnya, Surya Paloh bicara saat ini Indonesia menghadapi tantangan dari dalam dan luar negeri. Karena itu kita membutuhkan pemimpin seperti sosok Anies Baswedan.

""Kita membutuhkan pemimpin bangsa ini yang bisa memadukan kemampuan profesionalitasnya sekaligus moral dan etiknya,"" kata Surya Paloh di JIS, Sabtu (10/2/2024).

""Kita masih memerlukan lagi pemimpin yang lebih baik membangun negeri ini, pemimpin lebih hebat untuk membangun negeri ini. Inilah alasan kita meletakkan pilihan pada Anies Baswedan,"" katanya.

Menurut Surya Paloh, Pemilu 14 Februari nanti merupakan momen untuk mengkritisi dan mengevaluasi pemerintahan lima tahun ke belakang. Momentum itu tidak boleh dilewatkan.

Surya Paloh pun berharap agar pemilu 14 Februari nanti adalah pemilu yang memberi rasa kenyamanan, optimisme, dan berkualitas.

""Kita berharap banyak agar pemilu yang kita hadapi pada tanggal 14 Februari, dijalani adalah pemilu yang jauh lebih memberikan rasa kenyamanan, optimisme, dan berkualitas. Tidak Pemilu sekaligus merusak sistem demokrasi yang ada pada kita di negeri ini,"" katanya.

Pada pemilu nanti, warga akan menentukan nasib Indonesia lima tahun ke depan. Karena itu, Surya Paloh mengajak untuk segera lakukan perubahan.

""Pada hari ini, hari ini adalah masa depan dan untuk itulah semuanya kita berkewajiban menyambut masa depan itu. Dan menyambut masa depan itu satu-satunya upaya yang harus bisa kita lakukan saat ini, segera lakukan perubahan yang berarti untuk membangun Negeri ini saudaraku semua,"" katanya."
2024-02-10 09:23;Negative;"Lembaga Indikator Politik Indonesia merilis hasil survei jelang pemungutan suara, di mana Prabowo dan Gibran menempati urutan pertama, disusul Anies-Muhaimin (AMIN) kemudian pasangan nomor urut 3 Ganjar dan Mahfud Md.

""Kalau survei memang survei tuh ada macem-macem survei, ada survei yang konvensional dan tradisional, yang menggunakan metode tradisional, datang ke orang yang akan di survei, nah itu rentan. Rentan keliru membaca karena lama pengumpulan datanya, lalu kemudian juga bisa juga terjadi rekayasa, jadi kita sendiri sudah tidak menggunakan metode itu untuk mengukur suhu di masyarakat,"" kata Yenny Wahid usai perayaan Imlek di Restoran Empurau, Jembatan Lima, Jakarta Barat, Jumat (9/2/2024) malam.

Yenny menyebut TPN Ganjar-Mahfud menggunakan metode triangulasi yang terdiri dari beberapa variabel penghitungan. Ia menyebut dari survei internal Ganjar-Mahfud termasuk pasangan yang memimpin.

""Nah, kalau di survei itu justru kita termasuk leading, tidak ada yang akan menang satu putaran. Jadi jelas, hasil survei itu waktunya terlalu mepet untuk bisa dipaksakan ada satu pemenang satu putaran, tapi kita nggak tahu ya, namanya keajaiban untuk kelompok 03 bisa saja terjadi kalau rakyat berkehendak,"" kata dia.

Yenny optimis Ganjar dan Mahfud akan masuk ke putaran kedua. Yenny menyebut ada peluang pasnagan nomor urut 2 (Prabowo-Gibran) dan Paslon 03 (Ganjar-Mahfud) akan lolos ke tahap berikutnya.

""Yang jelas bahwa untuk Paslon yang akan masuk dari hasil survei internal itu 02 dan 03. Jika sudah begitu, kita lebih percaya diri. Putaran kedua akan sangat berbeda sekali dinamikanya,"" kata dia.

Lembaga survei Indikator Politik Indonesia merilis hasil survei peta elektoral di akhir masa kampanye. Hasilnya, pasangan nomor urut 2, Prabowo Subianto dan Gibran Rakabumimg Raka menempati posisi pertama dengan elektabilitas 51,8 persen.

Survei dilakukan dalam periode 28 Januari hingga 4 Februari 2024 dengan total 1.200 responden. Adapun penarikan sampel menggunakan metode multistage random sampling dengan toleransi kesalahan (margin of error--MoE) sekitar ±2,9% pada tingkat kepercayaan 95%.

Dalam survei Pilpres 2024, Prabowo-Gibran berada di peringkat pertama dengan 51,8 persen, sementara Anies-Muhaimin di posisi kedua dengan 24,1 persen serta Ganjar-Mahfud 19,6 persen. Burhanuddin menyebut selisih antara AMIN dan Ganjar-Mahfud tidak signifikan."
2024-02-10 08:56;Negative;"Survei Indikator Politik Indonesia menunjukkan paslon nomor urut 1, Anies Baswedan-Muhaimin Iskandar atau Cak Imin, berada di posisi kedua.

""Dari awal kami tidak pernah melihat survei sebagai patokan, karena tujuan utama kami bukan mendapatkan kekuasaan melainkan memperjuangkan aspirasi rakyat yang ingin perubahan,"" kata Indra saat dihubungi, Jumat (9/2/2024).

Indra mencontohkan acara-acara Anies-Cak Imin di beberapa lokasi. Dia juga membahas animo masyarakat di kampanye akbar Anies-Cak Imin di JIS.

""Dari animo Desak Anies sore ini di Surabaya, dan animo yang akan hadir di JIS besok, menunjukkan bahwa semakin banyak yang ingin perubahan. Dan inilah perjuangan kami. Inilah demokrasi,"" ucapnya.

Lebih lanjut, Indra juga memastikan survei hanya sekadar penyemangat. Dia menegaskan pihaknya punya survei internalnya sendiri.

""Survei sih buat penyemangat aja. Tentunya kami punya survei internal sendiri dan sejauh ini yakin untuk masuk putaran kedua,"" tutur dia.

Lembaga survei Indikator Politik Indonesia merilis hasil survei peta elektoral di akhir masa kampanye. Hasilnya, pasangan nomor urut 2, Prabowo Subianto dan Gibran Rakabumimg Raka menempati posisi pertama dengan elektabilitas 51,8 persen.

Survei dilakukan dalam periode 28 Januari hingga 4 Februari 2024 dengan total 1.200 responden. Adapun penarikan sampel menggunakan metode multistage random sampling dengan toleransi kesalahan (margin of error--MoE) sekitar ±2,9% pada tingkat kepercayaan 95%.

Dalam survei Pilpres 2024, Prabowo-Gibran berada di peringkat pertama dengan 51,8 persen, sementara Anies-Muhaimin di posisi kedua dengan 24,1 persen serta Ganjar-Mahfud 19,6 persen. Burhanuddin menyebut selisih antara AMIN dan Ganjar-Mahfud tidak signifikan."
2024-02-10 08:06;Negative;Anies Minta KPU Netral: Bila Ini Jadi Pemilu Terburuk, Anak-Cucu Anda Malu
2024-02-10 07:24;Positive;"Paslon nomor urut 1 Anies Baswedan-Muhaimin Iskandar menggelar kampanye akbar di Jakarta International Stadium (JIS). Stasiun Kampung Bandan terpantau padat pagi ini.

Pantauan detikcom di lokasi, Sabtu (10/2/2024) pukul 07.00 WIB dipadati penumpang. Sebagian besar dari mereka pendukung Anies-Muhaimin yang hendak menuju JIS.

Tampak beberapa dari mereka mengenakan atribut kampanye. Salah satunya topi bertuliskan 1 AMIN.

Seperti diketahui, dua pasangan calon presiden dan wakil presiden peserta Pilpres 2024 akan melakukan kegiatan kampanye akbar di Jakarta hari ini. Polda Metro Jaya menyiapkan rekayasa lalu lintas di sekitar lokasi kampanye di GBK dan di JIS.

Kampanye akbar akan digelar mulai Sabtu (10/2/2024) pagi. Paslon nomor urut 1 Anies Baswedan-Muhaimin Iskandar akan melakukan kampanye akbar di Jakarta International Stadium (JIS), Jakarta Utara. Sementara paslon nomor urut 2 Prabowo Subianto-Gibran Rakabuming Raka akan melakukan kampanye di GBK, Jakarta Pusat.

""Seluruh polres jajaran di Polda Metro Jaya dilibatkan untuk melakukan penjagaan dan pengaturan lalu lintas. Di GBK pukul 14.00 WIB sampai 20.00 WIB diberlakukan car free day bagi peserta kampanye,"" kata Kabid Humas Polda Metro Jaya Kombes Ade Ary Syam Indradi kepada wartawan, Jumat (9/2).

Melalui akun X nya, TMC Polda Metro Jaya menyampaikan pengalihan arus akan dimulai pukul 04.00 WIB.

""Terkait Kampanye Akbar atau Kampanye Rapat Umum tanggal 10 Februari 2024, akan dilakukan pengalihan arus di beberapa jalur di atas yang akan dimulai dari pukul 04.00 WIB sampai dengan 16.00 WIB,"" tulis TMC Polda Metro Jaya."
2024-02-10 06:45;Positive;"Hari pemungutan suara Pemilu 2024 semakin dekat. Bagaimana kekuatan tiga paslon capres dan cawapres H-4 menjelang pencoblosan?

Sejumlah lembaga survei merilis elektabilitas paslon capres dan cawapres. Dari tiga hasil survei terbaru, paslon nomor urut 2, Prabowo-Gibran unggul.

Hasil survei Indikator Politik Indonesia pasangan nomor urut 2, Prabowo Subianto dan Gibran Rakabumimg Raka menempati posisi pertama dengan elektabilitas 51,8 persen. Survei dilakukan dalam periode 28 Januari hingga 4 Februari 2024 dengan total 1.200 responden.

Adapun penarikan sampel menggunakan metode multistage random sampling dengan toleransi kesalahan (margin of error--MoE) sekitar ±2,9% pada tingkat kepercayaan 95%.

Dalam survei Pilpres 2024, Prabowo-Gibran berada di peringkat pertama dengan 51,8 persen, sementara Anies-Muhaimin di posisi kedua dengan 24,1 persen serta Ganjar-Mahfud 19,6 persen. Burhanuddin menyebut selisih antara AMIN dan Ganjar-Mahfud tidak signifikan.

""Dan hasilnya kalau kita pakai simulasi surat suara itu Pak Prabowo Gibran 51,8 persen, sementara di peringkat kedua adalah Anies Muhaimin 24,1 persen, di peringkat ketiga meskipun selisihnya tidak signifikan secara statistik dengan Mas Anies itu adalah Ganjar-Mahfud Md dan masih ada 4,5 persen pemilih responden kita yang waktu kita survei menyatakan tidak tahu atau tidak jawab,"" kata Direktur Eksekutif Indikator Politik Indonesia di Jakarta Pusat, Jumat (9/2/2024).

Ia mengatakan masih ada peluang pemilu berlangsung dua putaran. Meski demikian, tren dari Prabowo dan Gibran terus meningkat membuat probabilitas pilpres sekali putaran semakin besar.

""Pertanyaan berikutnya, apakah angka 51,8 persen ini menunjukkan pemilu Rabu depan akan berlangsung satu putaran? Nah nanti kita bisa didiskusikan, namun yang bisa kami katakan, karena masih ada margin of error secara konservatif masih ada peluang terjadinya 2 putaran,"" ujar Burhanuddin.

""Tetapi angka 51,8 persen tren naik yang masih berlangsung buat Prabowo-Gibran maka saya katakan potensi atau probabilitas satu putaran meningkat buat Pak Prabowo dibanding survei-survei sebelumnya,"" pungkasnya.

Lalu ada lembaga survei Poltracking. Hasil survei menempatkan paslon nomor urut 2, Prabowo Subianto-Gibran Rakabuming Raka berada di posisi teratas dengan angka 50,9%.

Survei ini dilakukan pada 25 Januari-2 Februari 2024 dengan jumlah responden 1.220 di Indonesia. Margin of error (MoE) survei ini adalah +-2,9% dengan tingkat kepercayaan 95%.

Pengumpulan data dengan wawancara tatap muka langsung dengan responden. Populasi survei warga di Indonesia yang sudah memiliki hak pilih berusia lebih dari 17 tahun atau sudah menikah.

Responden diberi pertanyaan, 'Jika Pilpres dilaksanakan hari ini, siapa yang akan Bapak/Ibu/Saudara pilih di antara pasangan capres-cawapres berikut?'. Berikut hasilnya:

- Anies Baswedan-Muhaimin Iskandar: 25,1%

- Prabowo Subianto-Gibran Rakabuming: 50,9%

- Ganjar Pranowo-Mahfud Md: 18,4%

- Tidak tahu/tidak jawab: 5,6%.

Direktur Eksekutif Poltracking Indonesia, Hanta Yuda AR, mengatakan bahwa Prabowo-Gibran diprediksi bisa menang satu putaran. Namun, jika berlangsung dua putaran, Anies-Muhaimin lebih berpotensi masuk dibandingkan Ganjar-Mahfud."
2024-02-10 01:13;Negative;"Relawan paslon nomor urut 2 Prabowo-Gibran, Gibran Center angkat bicara terkait potensi koalisi paslon nomor urut 1, Anies-Muhaimin, dengan paslon nomor urut 3, Ganjar-Mahfud. Gibran Center tetap yakin Prabowo-Gibran akan menang satu putaran.

""Kami yakin bisa Prabowo-Gibran tetap menang, meski isu-isu terus mencuat. Karena kami melihat animo masyarakat yang mendukung terus meningkat,"" kata Ketua Umum Gibran Center Marsudiyanto dalam keterangannya, Sabtu (10/2/2024).

Marsudiyanto tak masalah bila isu koalisi paslon tersebut benar-benar terjadi. Menurutnya, keterbukaan terhadap lawan di Pilpres 2024 bisa berupa bergabung ke dalam kabinet.

""Kita akan yakin sepenuhnya bila Prabowo-Gibran dalam pemilu tahun ini,"" ucapnya.

Sebagai informasi, kepengurusan Dewan Gibran Center di Kepulauan Riau resmi dilantik di Hotel Planet Holiday, Batam, Kepulauan Riau. Penyerahan Surat Keputusan (SK) dilakukan oleh Ketua Umum Marsudiyanto dari Dewan Pimpinan Pusat (DPP) Gibran Center.

Dengan terbentuknya DPW Gibran Center di Kepulauan Riau, memunculkan semangat dan keyakinan baru dalam mendukung pasangan Prabowo-Gibran. Marsudiyanto mengatakan program yang diusung paslon 02 menjadi harapan masyarakat Indonesia.

""Politik itu dinamis kok, kita yakin dengan program paslon dan keinginan masyarakat bahwa palson no 02 masih jadi harapan besar dari masyarakat Indonesia,"" ucapnya."
2024-02-10 01:12;Positive;Ribuan Orang Hadiri Kampanye di Tulungagung, Anies: Bukan Massa Bayaran
2024-02-09 23:38;Negative;Cak Imin Minta Maaf Usai diprotes Doakan Syaiful Huda Jadi Mendikbud
2024-02-09 22:25;Positive;Timnas AMIN Sebut Eks Menhan Ryamizard Ryacudu Dukung Anies-Muhaimin
2024-02-09 21:17;Positive;Cak Imin Janji Usut Tuntas Tragedi Kanjuruhan Jika Terpilih Jadi Wapres
2024-02-09 18:04;Negative;"Politikus pendukung pasangan Prabowo Subianto dan Gibran Rakabuming Raka, Maruarar Sirait, menanggapi hasil survei Indikator Politik di mana paslon nomor urut 2 berada di posisi teratas. Maruarar mengatakan salah satu faktornya lantaran tingkat kepuasan terhadap Presiden Joko Widodo (Jokowi) yang tinggi.

""Approval rating Jokowi yang cenderung naik, menurut saya pasti mempengaruhi kenaikan juga pasangan Prabowo dan Gibran karena memang saya yakin di hatinya Pak Jokowi itu ya nomor 2, saya yakin,"" kata Maruarar di Kantor Indikator Politik, Jakarta Pusat, Jumat (9/2/2024).

Ara, sapaan akrabnya, mengatakan publik bisa membaca jika dukungan Presiden Jokowi telah berlabuh ke Prabowo dan Gibran. Selain itu, menurutnya elektabiltas Prabowo naik setelah debat terakhir yang diselenggarakan oleh KPU.

""Tentu faktor selain Pak Jokowi ada, Pak Prabowo seperti kita lihat di debat terakhir, walaupun saya belum lihat survei pasca debat, tapi kalau kami berusaha objektif mendengar masukan saya rasa dari lima kali debat Pak Prabowo paling bagus di debat terakhir,"" ujar Ara.

Ia menilai apa yang disampaikan Menhan RI itu dalam debat kelima sangat bijak. Bahkan, permintaan maaf kepada capres 01 dan 03 dipandang mampu merangkul semua pihak.

""Menurut kami itu adalah statement seorang negarawan, statemen juara. Karena yang bisa merangkul itu biasanya adalah yang menang dan dipercaya, dan tentu menjadi catatan bagus, negara akan baik-baik saja, karena yang menang akan merangkul yang kalah dan juga tidak segan-segan minta maaf,"" ungkapnya.

Adapun survei Indikator Politik dilakukan dalam periode 28 Januari hingga 4 Februari 2024 dengan total 1.200 responden. Adapun penarikan sampel menggunakan metode multistage random sampling dengan toleransi kesalahan (margin of error--MoE) sekitar ±2,9% pada tingkat kepercayaan 95%.

Dalam survei Pilpres 2024, Prabowo-Gibran berada di peringkat pertama dengan 51,8 persen, sementara Anies-Muhaimin di posisi kedua dengan 24,1 persen serta Ganjar-Mahfud 19,6 persen. Burhanuddin menyebut selisih antara AMIN dan Ganjar-Mahfud tidak signifikan."
